# Copyright (c) 1966-2021 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2021-08-16
# See end of file for additional documentation on specific fields
Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr4	55078480	55125594	4q12	4q12	191306	KDR	Kinase insert domain receptor	KDR	3791	ENSG00000128052	?mutant in TAPVR1	{Hemangioma, capillary infantile, susceptibility to}, 602089 (3), Autosomal dominant; Hemangioma, capillary infantile, somatic, 602089 (3)	Kdr (MGI:96683)
chr4	55346227	55373099	4q12	4q12	611715	SRD5A3, SRD5A2L, CDG1Q, KRIZI	Steroid 5-alpha-reductase 3	SRD5A3	79644	ENSG00000128039		Kahrizi syndrome, 612713 (3), Autosomal recessive; Congenital disorder of glycosylation, type Iq, 612379 (3), Autosomal recessive	Srd5a3 (MGI:1930252)
chr4	55395652	55453396	4q12	4q12	614726	TMEM165, FT27, CDG2K	Transmembrane protein 165	TMEM165	55858	ENSG00000134851		Congenital disorder of glycosylation, type IIk, 614727 (3), Autosomal recessive	Tmem165 (MGI:894407)
chr4	55427902	55547137	4q12	4q12	601851	CLOCK	Circadian locomotor output cycles kaput	CLOCK	9575	ENSG00000134852			Clock (MGI:99698)
chr4	55556518	55592273	4q11	4q12	611676	PDCL2	Phosducin-like 2	PDCL2	132954	ENSG00000163440			Pdcl2 (MGI:1890655)
chr4	55595230	55636792	4q12	4q12	605103	NMU	Neuromedin U	NMU	10874	ENSG00000109255			Nmu (MGI:1860476)
chr4	55853647	55905085	4q12	4q12	607879	EXOC1, SEC3	Exocyst complex component 1	EXOC1	55763	ENSG00000090989			Exoc1 (MGI:2445020)
chr4	55948807	56033360	4q12	4q12	611423	CEP135, KIAA0635, MCPH8	Centrosomal protein, 135kD	CEP135	9662	ENSG00000174799		Microcephaly 8, primary, autosomal recessive, 614673 (3), Autosomal recessive	Cep135 (MGI:2681869)
chr4	56049097	56330621	4q12	4q12	618327	CRACD, KIAA1211	Capping protein inhibiting regulator of actin dynamics	CRACD	57482	ENSG00000109265			Cracd (MGI:2444817)
chr4	56337686	56389417	4q12	4q12	614365	AASDH, ACSF4	Aminoadipate-semialdehyde dehydrogenase	AASDH	132949	ENSG00000157426			Aasdh (MGI:2442517)
chr4	56393361	56435614	4q12	4q12	172450	PPAT, GPAT	Phosphoribosylpyrophosphate amidotransferase	PPAT	5471	ENSG00000128059			Ppat (MGI:2387203)
chr4	56410506	56464577	4q12	4q12	172439	PAICS, AIRC	Phosphoribosylaminoimidazole carboxylase	PAICS	10606	ENSG00000128050	bifunctional enzyme; ade-D; 625bp from PPAT		Paics (MGI:1914304)
chr4	56467616	56503680	4q12	4q12	602122	SRP72, BMFS1	Signal recognition particle, 72kD	SRP72	6731	ENSG00000174780		Bone marrow failure syndrome 1, 614675 (3), Autosomal dominant	Srp72 (MGI:1333795)
chr4	56505208	56524452	4q12	4q12	612405	ARL9	ADP ribosylation factor-like GTPase 9	ARL9	132946	ENSG00000196503			Arl9 (MGI:1915496)
chr4	56647991	56681865	4q11-q12	4q12	607275	HOPX, HOP	HOP homeobox	HOPX	84525	ENSG00000171476			Hopx (MGI:1916782)
chr4	56809859	56822209	4q12	4q12	605753	SPINK2, SPGF29	Serine protease inhibitor, Kazal-type, 2	SPINK2	6691	ENSG00000128040	mutation identified in 1 SPGF29 family	?Spermatogenic failure 29, 618091 (3), Autosomal recessive	Spink2 (MGI:1917232)
chr4	56907899	56935846	4q12	4q12	600571	REST, NRSF, WT6, GINGF5, HGF5, DFNA27	RE1-silencing transcription factor	REST	5978	ENSG00000084093	mutation identified in one DFNA27 family	?Deafness, autosomal dominant 27, 612431 (3), Autosomal dominant; {Wilms tumor 6, susceptibility to}, 616806 (3), Autosomal dominant; Fibromatosis, gingival, 5, 617626 (3), Autosomal dominant	Rest (MGI:104897)
chr4	56963349	56977605	4q12	4q12	614919	NOA1, C4orf14	Nitric oxide-associated protein 1	NOA1	84273	ENSG00000084092			Noa1 (MGI:1914306)
chr4	56978895	57031157	4q12	4q12	180661	POL2RB	Polymerase (RNA) II (DNA directed) polypeptide B, 140kD	POLR2B	5431	ENSG00000047315			Polr2b (MGI:2388280)
chr4	57030772	57110384	4q12	4q12	602867	IGFBP7, MAC25, RAMSVPS	Insulin-like growth factor-binding protein-7	IGFBP7	3490	ENSG00000163453		Retinal arterial macroaneurysm with supravalvular pulmonic stenosis, 614224 (3), Autosomal recessive	Igfbp7 (MGI:1352480)
chr4	61200325	62078334	4q13.1	4q13.1	616417	ADGRL3, LPHN3, CIRL3, CL3, LEC3, KIAA0768	Adhesion G protein-coupled receptor L3	ADGRL3	23284	ENSG00000150471			Adgrl3 (MGI:2441950)
chr4	64276297	64409509	4q13.1	4q13.1	617242	TECRL, TERL, SRD5A2L2, GPSN2L, CPVT3	Trans-2,3-enoyl-CoA reductase-like protein	TECRL	253017	ENSG00000205678		Ventricular tachycardia, catecholaminergic polymorphic, 3, 614021 (3), Autosomal recessive	Tecrl (MGI:2444966)
chr4	65319566	65670488	4q13	4q13.1-q13.2	600004	EPHA5, TYRO4, HEK7	Ephrin receptor EphA5	EPHA5	2044	ENSG00000145242			Epha5 (MGI:99654)
chr4	65500000	87100000	4q13.2-q21.3		611630	ETL3, FMTLE	Epilepsy, familial temporal lobe, 3		100188848		max lod at D4S1517	Epilepsy, familial temporal lobe, 3, 611630 (2), Autosomal dominant	
chr4	67468761	67545502	4q12-q13.3	4q13.2	117141	CENPC1, CENPC	Centromere autoantigen C1	CENPC	1060	ENSG00000145241	?pseudogene on chr.12		Cenpc1 (MGI:99700)
chr4	67558726	67607336	4q13.2	4q13.2	604298	STAP1, BRDG1	Signal transducing adaptor family member 1	STAP1	26228	ENSG00000035720			Stap1 (MGI:1926193)
chr4	67612651	67701154	4q13.2	4q13.2	611361	UBA6, UBE1L2	Ubiquitin activating enzyme 6	UBA6	55236	ENSG00000033178			Uba6 (MGI:1913894)
chr4	67737117	67754387	4q21.2	4q13.2	138850	GNRHR, LHRHR, HH7	Gonadotropin-releasing hormone receptor	GNRHR	2798	ENSG00000109163	placed at 4q12 or 4q13 by some	Hypogonadotropic hypogonadism 7 without anosmia, 146110 (3), Autosomal recessive	Gnrhr (MGI:95790)
chr4	67909394	67963492	4q13.2	4q13.2	611704	TMPRSS11A, ECRG1	Transmembrane protease, serine 11A	TMPRSS11A	339967	ENSG00000187054			Tmprss11a (MGI:2684853)
chr4	68038415	68042510	4q12	4q13.2	608311	GCOM2, GRINL1B	GRINL1B complex locus 2	POLR2MP1	339970				
chr4	68060609	68063296	4q13.2	4q13.2	610892	SYT14L, SYTDEP, CHR415SYT	Synaptotagmin 14-like protein	SYT14P1	401135				
chr4	68310386	68350092	4q13.2	4q13.2	617283	YTHDC1, KIAA1966	TYH domain-containing protein 1	YTHDC1	91746	ENSG00000083896			Ythdc1 (MGI:2443713)
chr4	68447462	68497603	4q13.2	4q13.2	610399	TMPRSS11E, DESC1	Transmembrane protease, serine 11E	TMPRSS11E	28983	ENSG00000087128			Tmprss11e (MGI:3513175)
chr4	68537172	68576321	4q13	4q13.2	601903	UGT2B17, BMND12	UDP-glucuronyltransferase, family 2, beta-17	UGT2B17	7367	ENSG00000197888		{Bone mineral density QTL 12, osteoporosis}, 612560 (3)	Ugt2b1,Ugt2b38,Ugt2b37,Ugt2b36,Ugt2b35,Ugt2b5 (MGI:2148239,MGI:1919023,MGI:2140794,MGI:3576103,MGI:98900,MGI:3576100)
chr4	68646596	68670651	4q13	4q13.2	600069	UGT2B15, UGT2B8	UDP-glucuronyltransferase, family 2, beta-15	UGT2B15	7366	ENSG00000196620			Ugt2b1,Ugt2b38,Ugt2b37,Ugt2b36,Ugt2b35,Ugt2b5 (MGI:2148239,MGI:1919023,MGI:2140794,MGI:3576103,MGI:98900,MGI:3576100)
chr4	68815993	68832037	4q13.2	4q13.2	600070	UGT2B10	Uridine diphosphate glycosyltransferase 2 family, member B10	UGT2B10	7365	ENSG00000109181			Ugt2b1,Ugt2b34 (MGI:1919023,MGI:2140962)
chr4	68928459	68951803	4q13	4q13.2	616382	UGT2A3	Uridine diphosphate glucuronosyltransferase 2 family, member A3	UGT2A3	79799	ENSG00000135220			Ugt2a3 (MGI:1919344)
chr4	69051374	69112986	4q13	4q13.2	600068	UGT2B7, UGT2B9	UDP-glucuronyltransferase, family 2, beta-7	UGT2B7	7364	ENSG00000171234			Ugt2b1,Ugt2b34 (MGI:1919023,MGI:2140962)
chr4	69199950	69224979	4q13.2	4q13.2	603064	UGT2B11	Uridine diphosphate glycosyltransferase 2 family, member B11	UGT2B11	10720	ENSG00000213759			Ugt2b1,Ugt2b34 (MGI:1919023,MGI:2140962)
chr4	69280428	69295049	4q13.2	4q13.2	606497	UGT2B28	Uridine diphosphate glycosyltransferase 2 family, member B28	UGT2B28	54490	ENSG00000135226			Ugt2b1,Ugt2b34 (MGI:1919023,MGI:2140962)
chr4	69400000	87100000	4q13-q21		609400	AIS4, VAMAS5	Autoimmune disease, susceptibility to, 4		619405		between D4S392 and D4S3042	{Autoimmune disease, susceptibility to, 4}, 609400 (2)	
chr4	69480164	69526013	4q13	4q13.3	600067	UGT2B4, UGT2B11	UDP-glucuronyltransferase, family 2, beta-4	UGT2B4	7363	ENSG00000156096	cluster in order B7--B4--B15 in 195kb		Ugt2b1,Ugt2b34 (MGI:1919023,MGI:2140962)
chr4	69588416	69653246	4q13	4q13.3	604716	UGT2A1	Uridine diphosphate glycosyltransferase 2 family, member A1	UGT2A1	10941	ENSG00000173610			Ugt2a1 (MGI:2149905)
chr4	69721166	69760643	4q13.3	4q13.3	608436	SULT1B1, ST1B2	Sulfotransferase family 1B, member 1	SULT1B1	27284	ENSG00000173597			Sult1b1 (MGI:2136282)
chr4	69841211	69860150	4q13.1	4q13.3	600043	STE, EST	Sulfotransferase, estrogen-preferring	SULT1E1	6783	ENSG00000109193			Sult1e1 (MGI:98431)
chr4	69931061	69946573	4q21.1	4q13.3	115450	CSN1	Casein, alpha	CSN1S1	1446	ENSG00000126545			Csn1s1 (MGI:88540)
chr4	69955255	69965727	4q21.1	4q13.3	115460	CSN2	Casein, beta	CSN2	1447	ENSG00000135222			Csn2 (MGI:88541)
chr4	69995965	70002569	4q11-q13	4q13.3	184470	STATH	Statherin	STATH	6779	ENSG00000126549			
chr4	70028458	70036537	4q13	4q13.3	142702	HTN3, HTN2, HIS2	Histatin-3	HTN3	3347	ENSG00000205649			
chr4	70050437	70058847	4q13	4q13.3	142701	HTN1	Histatin-1	HTN1	3346	ENSG00000126550	3 genes in a 15kb segment		
chr4	70195724	70204575	4q13.3	4q13.3	614843	ODAM, APIN	Odontogenic ameloblast-associated protein	ODAM	54959	ENSG00000109205			Odam (MGI:1916842)
chr4	70226123	70235251	4q13.3	4q13.3	607241	FDCSP, C4orf7	Follicular dendritic cell secreted protein	FDCSP	260436	ENSG00000181617			
chr4	70238380	70251431	4q13-q21	4q13.3	601695	CSN3, CNS10, CSNK	Casein, kappa	CSN3	1448	ENSG00000171209			Csn3 (MGI:107461)
chr4	70334980	70337115	14q13.3	4q13.3	618600	CABS1, CLPH, C4orf35	Calcium-binding protein, spermatid-associated 1	CABS1	85438	ENSG00000145309			Cabs1 (MGI:1918227)
chr4	70360759	70367157	4q13.3	4q13.3	618340	SMR3A, PBI	Submaxillary gland androgen-regulated protein 3A	SMR3A	26952	ENSG00000109208			Smr3a (MGI:102763)
chr4	70383130	70390243	4q13.3	4q13.3	611593	SMR3B, SMR1B, PRL3, PBII	Submaxillary gland androgen-regulated protein 3, mouse, homolog of, B	SMR3B	10879	ENSG00000171201			
chr4	70397939	70410194	4q13.3	4q13.3	608936	PROL1, PRL1, BPLP	Proline-rich lacrimal protein 1	OPRPN	58503	ENSG00000171199			C5ar1 (MGI:88232)
chr4	70430491	70482996	4q13-q21	4q13.3	158375	MUC7	Mucin 7, salivary	MUC7	4589	ENSG00000171195		{Asthma, protection against}, 600807 (3), Autosomal dominant	
chr4	70518568	70532742	4q13.3	4q13.3	610912	AMTN, AI3B	Amelotin	AMTN	401138	ENSG00000187689	mutation identified in 1 AI3B family	?Amelogenesis imperfecta, type IIIB, 617607 (3), Autosomal dominant	Amtn (MGI:1918671)
chr4	70592255	70607287	4q21	4q13.3	601259	AMBN, AI1F	Ameloblastin	AMBN	258	ENSG00000178522	mutation identified in 1 AI1F family	Amelogenesis imperfecta, type IF, 616270 (3), Autosomal recessive	Ambn (MGI:104655)
chr4	70627470	70646823	4q21	4q13.3	606585	ENAM, AIH2, AI1C	Enamelin	ENAM	10117	ENSG00000132464		Amelogenesis imperfecta, type IC, 204650 (3), Autosomal recessive; Amelogenesis imperfecta, type IB, 104500 (3), Autosomal dominant	Enam (MGI:1333772)
chr4	70655540	70666507	4q21	4q13.3	147790	JCHAIN, IGJ	Joining chain of multimeric IgA and IgM	JCHAIN	3512	ENSG00000132465			Jchain (MGI:96493)
chr4	70688531	70690550	4q21	4q13.3	611614	UTP3, CRL1, CRLZ1	UTP3 small subunit processome component	UTP3	57050	ENSG00000132467			Utp3 (MGI:1919230)
chr4	70704203	70808618	4q13.3	4q13.3	611194	RUFY3, SINGAR1, RIPX	FUN and FYVE domains-containing protein 3	RUFY3	22902	ENSG00000018189			Rufy3 (MGI:106484)
chr4	70815782	70843273	4q13	4q13.3	604851	GRSF1	G-rich RNA sequence-binding factor 1	GRSF1	2926	ENSG00000132463			Grsf1 (MGI:106479)
chr4	70993648	71030913	4q13.3-q21.1	4q13.3	125450	DCK	Deoxycytidine kinase	DCK	1633	ENSG00000156136			Dck (MGI:102726)
chr4	71062645	71572082	4q21	4q13.3	603345	SLC4A4, NBC1, KNBC	Solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4	8671	ENSG00000080493		Renal tubular acidosis, proximal, with ocular abnormalities, 604278 (3), Autosomal recessive	Slc4a4 (MGI:1927555)
chr4	71741692	71805519	4q12	4q13.3	139200	GC, DBP	Group-specific component (vitamin D-binding protein)	GC	2638	ENSG00000145321	4q13-q21.1 by in situ hybridization		Gc (MGI:95669)
chr4	72031999	72148304	4q13.3	4q13.3	607449	NPFFR2, GPR74, NPFF2, NPGPR	Neuropeptide FF receptor 2	NPFFR2	10886	ENSG00000056291			Npffr2 (MGI:1860130)
chr4	72280968	72569220	4q21	4q13.3	605011	ADAMTS3, HKLLS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3	ADAMTS3	9508	ENSG00000156140		Hennekam lymphangiectasia-lymphedema syndrome 3, 618154 (3), Autosomal recessive	Adamts3 (MGI:3045353)
chr4	73052361	73069776	4q21.1	4q13.3	610428	COX18	Cytochrome c oxidase assembly protein COX18	COX18	285521	ENSG00000163626			Cox18 (MGI:2448532)
chr4	73073375	73259765	4q13.3	4q13.3	615929	ANKRD17, GTAR	Ankyrin repeat domain-containing protein 17	ANKRD17	26057	ENSG00000132466			Ankrd17 (MGI:1932101)
chr4	73404286	73421481	4q11-q13	4q13.3	103600	ALB, ANALBA, FDAH, FDAHT	Albumin	ALB	213	ENSG00000163631	mutation identified in 1 FDAHT family	?[Dysalbuminemic hypertriiodothyroninemia], 615999 (3), Autosomal dominant, Autosomal recessive; Analbuminemia, 616000 (3), Autosomal recessive; [Dysalbuminemic hyperthyroxinemia], 615999 (3), Autosomal dominant, Autosomal recessive	Alb (MGI:87991)
chr4	73436220	73456173	4q11-q13	4q13.3	104150	AFP, HPAFP, AFPD	Alpha-fetoprotein	AFP	174	ENSG00000081051	order: 5'-ALB-3'--5'-AFP-3'	[Hereditary persistence of alpha-fetoprotein], 615970 (3), Autosomal dominant; Alpha-fetoprotein deficiency, 615969 (3), Autosomal recessive	Afp (MGI:87951)
chr4	73481744	73504000	4q11-q13	4q13.3	104145	AFM, ALBA, ALB2	Afamin	AFM	173	ENSG00000079557	10kb 3' of AFP		Afm (MGI:2429409)
chr4	73571549	73620630	4q13.3	4q13.3	612620	RASSF6	Ras association domain family, member 6	RASSF6	166824	ENSG00000169435			Rassf6 (MGI:1920496)
chr4	73740568	73743715	4q13.3	4q13.3	146930	CXCL8, IL8, SCYB8, NAP1, GCP1	Chemokine, CXC motif, ligand 8	CXCL8	3576	ENSG00000169429			
chr4	73836677	73838759	4q12-q13	4q13.3	138965	CXCL6, SCYB6, GCP2	Chemokine, C-X-C motif, ligand 6 (granulocyte chemotactic protein-2)	CXCL6	6372	ENSG00000124875			Cxcl5 (MGI:1096868)
chr4	73848735	73849252	4q12-q13	4q13.3	188035	PPBPP1, PPBPL1, TGB2	Pro-platelet basic protein pseudogene 1	PPBPP1	728045				
chr4	73853295	73854482	4q12-q13	4q13.3	173461	PF4V1	Platelet factor 4, variant 1 (PF4-like)	PF4V1	5197	ENSG00000109272	same region as PF4 and IP10		Pf4 (MGI:1888711)
chr4	73869392	73871307	4q12-q13	4q13.3	155730	CXCL1, GRO1, MGSA	Chemokine, C-X-C, ligand 1 (GRO1 oncogene; melanoma growth stimulating activity, alpha)	CXCL1	2919	ENSG00000163739	apparently cluster of 3 GRO genes		Cxcl2,Cxcl3 (MGI:1340094,MGI:3037818)
chr4	73980810	73982123	4q12-q13	4q13.3	173460	PF4	Platelet factor 4	PF4	5196	ENSG00000163737	6kb from PF4V1		Pf4 (MGI:1888711)
chr4	73986438	73988189	4q12-q13	4q13.3	121010	PPBP, CXCL7, SCYB7, CTAP3, TGB	Pro-platelet basic protein	PPBP	5473	ENSG00000163736	less than 7kb from PF4		Ppbp (MGI:1888712)
chr4	73995641	73998676	4q12-q13	4q13.3	600324	CXCL5, SCYB5, ENA78	Chemokine, C-X-C motif, ligand 5 (epithelial-derived neutrophil-activating peptide 78)	CXCL5	6374	ENSG00000163735			Cxcl5 (MGI:1096868)
chr4	74036588	74038688	4q12-q13	4q13.3	139111	CXCL3, GRO3, MIP2B	Chemokine, C-X-C motif, ligand 3 (GRO3 oncogene)	CXCL3	2921	ENSG00000163734			Cxcl2,Cxcl3 (MGI:1340094,MGI:3037818)
chr4	74054037	74055398	4q13.3	4q13.3	611591	PPBPP2, PPBPL2	Pro-platelet basic protein pseudogene 2	PPBPP2	10895	ENSG00000248848			
chr4	74097039	74099194	4q12-q13	4q13.3	139110	CXCL2, GRO2, MIP2A	Chemokine, C-X-C motif, ligand 2 (GRO2 oncogene)	CXCL2	2920	ENSG00000081041			Cxcl1,Cxcl2,Cxcl3 (MGI:1340094,MGI:108068,MGI:3037818)
chr4	74123272	74303098	4q13.3	4q13.3	614047	MTHFD2L	Methylenetetrahydrofolate dehydrogenase 2-like, NADP(+)-dependent	MTHFD2L	441024	ENSG00000163738			Mthfd2l (MGI:1915871)
chr4	74307584	74316788	4q21	4q13.3	618717	EPGN, EPG	Epithelial mitogen	EPGN	255324	ENSG00000182585			Epgn (MGI:1919170)
chr4	74365144	74388748	4q13.3	4q13.3	602061	EREG	Epiregulin	EREG	2069	ENSG00000124882			Ereg (MGI:107508)
chr4	74445135	74455004	4q13-q21	4q13.3	104640	AREG	Amphiregulin	AREG	374	ENSG00000109321			Areg (MGI:88068)
chr4	74744758	74794717	4q13-q21	4q13.3	600345	BTC	Betacellulin	BTC	685	ENSG00000174808	tightly linked to Areg in mouse		Btc (MGI:99439)
chr4	74933115	75050112	4q13.3	4q13.3	617688	PARM1, CIPAR1	Prostate androgen-regulated mucin-like protein 1	PARM1	25849	ENSG00000169116			Parm1 (MGI:2443349)
chr4	75479032	75514714	4q21.1	4q21.1	607680	RCHY1, ZNF363, PIRH2, ARNIP	Ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase	RCHY1	25898	ENSG00000163743			Rchy1 (MGI:1915348)
chr4	75513943	75547327	4q21.1	4q21.1	612535	THAP6	THAP domain-containing protein 6	THAP6	152815	ENSG00000174796			
chr4	75554996	75565892	4q21.1	4q21.1	614829	ODAPH, C4orf26	Odontogenesis-associated phosphoprotein	ODAPH	152816	ENSG00000174792		Amelogenesis imperfecta, type IIA4, 614832 (3), Autosomal recessive	Odaph (MGI:2685891)
chr4	75576493	75630527	4q21.1	4q21.1	603442	CDKL2, KKIAMRE, P56	Cyclin-dependent kinase-like 2	CDKL2	8999	ENSG00000138769			Cdkl2 (MGI:1858227)
chr4	75724521	75814285	4q21.1	4q21.1	603344	USO1, TAP, p115	USO1 vesicle transport factor	USO1	8615	ENSG00000138768			Uso1 (MGI:1929095)
chr4	75859866	75902451	4q21.1	4q21.1	602256	PPEF2	Protein phosphatase, EF hand calcium-binding domain-2	PPEF2	5470	ENSG00000156194			Ppef2 (MGI:1342304)
chr4	75910654	75941012	4q21.1	4q21.1	607469	NAAA, ASAHL	N-acylethanolamine acid amidase	NAAA	27163	ENSG00000138744			Naaa (MGI:1914361)
chr4	76001274	76007508	4q21	4q21.1	601704	CXCL9, MIG, SCYB9	Chemokine, C-X-C motif, ligand 9	CXCL9	4283	ENSG00000138755	close to INP10		Cxcl9 (MGI:1352449)
chr4	76011167	76112790	4q21.1	4q21.1	603086	ART3	ADP-ribosyltransferase 3	ART3	419	ENSG00000156219			Art3 (MGI:1202729)
chr4	76021117	76023496	4q21	4q21.1	147310	CXCL10, INP10	Chemokine, C-X-C motif, ligand 10 (interferon-inducible cytokine IP-10)	CXCL10	3627	ENSG00000169245	?involved in monocytic leukemia with t(4;11)(q21;q23)		Cxcl10 (MGI:1352450)
chr4	76033681	76036069	4q21.2	4q21.1	604852	CXCL11, SCYB11, IP9, SCYB9B	Chemokine, C-X-C motif, ligand 11	CXCL11	6373	ENSG00000169248			Cxcl11 (MGI:1860203)
chr4	76114663	76148433	4q21.1	4q21.1	607607	NUP54	Nucleoporin, 54kD	NUP54	53371	ENSG00000138750			Nup54 (MGI:1920460)
chr4	76158736	76213823	4q13-q21	4q21.1	602257	SCARB2, CD36L2, LIMPII, AMRF, EPM4	Scavenger receptor class B, member 2	SCARB2	950	ENSG00000138760		Epilepsy, progressive myoclonic 4, with or without renal failure, 254900 (3), Autosomal recessive	Scarb2 (MGI:1196458)
chr4	76306732	76311129	4q25-q34	4q21.1	607406	GENEX3414	Genethonin 1	STBD1	8987	ENSG00000118804			Stbd1 (MGI:1261768)
chr4	76435228	76783252	4q21.1	4q21.1	604570	SHROOM3, SHRM, KIAA1481	Shroom family member 3	SHROOM3	57619	ENSG00000138771			Shroom3 (MGI:1351655)
chr4	76949751	77040153	4q21.1	4q21.1	612887	SEPT11	Septin 11	SEPTIN11	55752	ENSG00000138758			Septin11 (MGI:1277214)
chr4	77047154	77075988	4q21.1	4q21.1	618783	CCNI	Cyclin I	CCNI	10983	ENSG00000118816			Ccni (MGI:1341077)
chr4	77157206	77170059	4q21.1	4q21.1	603203	CCNG2	Cyclin G2	CCNG2	901	ENSG00000138764			Ccng2 (MGI:1095734)
chr4	77511752	77611833	4q21	4q21.1	605149	CXCL13, SCYB13, BCA1, BLC	Chemokine, C-X-C motif, ligand 13	CXCL13	10563	ENSG00000156234			Cxcl13 (MGI:1888499)
chr4	77713386	77820268	4q21.1	4q21.1	618069	CNOT6L, CCR4B	CCR4-NOT transcription complex, subunit 6-like	CNOT6L	246175	ENSG00000138767			Cnot6l (MGI:2443154)
chr4	77862679	77952789	4q21.1	4q21.1	611821	MRPL1	Mitochondrial ribosomal protein L1	MRPL1	65008	ENSG00000169288			Mrpl1 (MGI:2137202)
chr4	78057322	78544268	4q21	4q21.21	607830	FRAS1, FRASRS1	Fraser extracellular matrix complex subunit 1	FRAS1	80144	ENSG00000138759		Fraser syndrome 1, 219000 (3), Autosomal recessive	Fras1 (MGI:2385368)
chr4	78551760	78610446	4q21	4q21.21	106490	ANXA3, ANX3	Annexin A3 (lipocortin III)	ANXA3	306	ENSG00000138772			Anxa3 (MGI:1201378)
chr4	78776349	78916364	4q21.21	4q21.21	617648	BMP2K, BIKE	BMP2-inducible kinase	BMP2K	55589	ENSG00000138756			Bmp2k (MGI:2155456)
chr4	78887224	78939437	4q21.21	4q21.21	614577	PAQR3, RKTG	Progestin and ADIPOQ receptor family, member 3	PAQR3	152559	ENSG00000163291			Paqr3 (MGI:2679683)
chr4	79155236	79326060	4q21.23	4q21.21	619432	NAA11, ARD2, ARD1B	N-alpha-acetyltransferase 11, NatA catalytic subunit	NAA11	84779	ENSG00000156269			Naa11 (MGI:2141314)
chr4	79827470	79863246	4q21.1	4q21.21	609717	PCAT4, GDEP	Prostate cancer-associated transcript 4	PCAT4	118425	ENSG00000251321			
chr4	79901145	80073471	4q21	4q21.21	608041	ANTXR2, CMG2, HFS	Anthrax toxin receptor 2	ANTXR2	118429	ENSG00000163297		Hyaline fibromatosis syndrome, 228600 (3), Autosomal recessive	Antxr2 (MGI:1919164)
chr4	80183417	80204328	4q21.21	4q21.21	616639	PRDM8, EPM10	PR domain-containing protein 8	PRDM8	56978	ENSG00000152784	mutation identified in 1 EPM10 family	?Epilepsy, progressive myoclonic, 10, 616640 (3), Autosomal recessive	Prdm8 (MGI:1924880)
chr4	80266587	80291016	4q21	4q21.21	165190	FGF5, TCMGLY	Fibroblast growth factor-5	FGF5	2250	ENSG00000138675		Trichomegaly, 190330 (3), Autosomal recessive	Fgf5 (MGI:95519)
chr4	81030707	81057626	4p14-q21	4q21.21	112263	BMP3	Bone morphogenetic protein-3	BMP3	651	ENSG00000152785			Bmp3 (MGI:88179)
chr4	81087369	81217836	4q13.1-q21.1	4q21.21	601591	PRKG2, PRKGR2	Protein kinase, cGMP-dependent, type II	PRKG2	5593	ENSG00000138669			Prkg2 (MGI:108173)
chr4	81426392	81471906	4q12-q21	4q21.21	614532	RASGEF1B, GPIG4	RASGEF domain family, member 1B	RASGEF1B	153020	ENSG00000138670			Rasgef1b (MGI:2443755)
chr4	82352497	82373990	4q21.1-q21.2	4q21.22	601324	HNRPD, AUF1, AUF1A	Heterogeneous nuclear ribonucleoprotein D	HNRNPD	3184	ENSG00000138668			Hnrnpd (MGI:101947)
chr4	82422563	82430461	4q21.33	4q21.22	607137	HNRNPDL, HNRPDL, JKTBP, LGMDD3	Heterogeneous nuclear ribonucleoprotein D-like protein	HNRNPDL	9987	ENSG00000152795		Muscular dystrophy, limb-girdle, autosomal dominant 3, 609115 (3), Autosomal dominant	Hnrnpdl (MGI:1355299)
chr4	82483175	82562252	4q21.22	4q21.22	617292	TMEM150C, TTN3	Transmembrane protein 150C	TMEM150C	441027	ENSG00000249242			Tmem150c (MGI:3041258)
chr4	82629538	82798795	4q21.1	4q21.22	608370	SCD5, ACOD4, DFNA79	Stearoyl-CoA desaturase 5	SCD5	79966	ENSG00000145284	mutation identified in 1 DFNA79 family	?Deafness, autosomal dominant 79, 619086 (3), Autosomal dominant	Scd3,Scd1 (MGI:1353437,MGI:98239)
chr4	82818508	82900568	4q21.22	4q21.22	610257	SEC31A, SEC31L1, KIAA0905, NEDSOSB	SEC31 homolog A, COPII coat complex component	SEC31A	22872	ENSG00000138674	mutation identified in 1 NEDSOSB family	?Neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies, 618651 (3), Autosomal recessive	Sec31a (MGI:1916412)
chr4	82900683	82920282	4q21.22	4q21.22	612537	THAP9	THAP domain-containing protein 9	THAP9	79725	ENSG00000168152			
chr4	82924602	83012950	4q21.22	4q21.22	613367	LIN54	Lin54, C. elegans, homolog of	LIN54	132660	ENSG00000189308			Lin54 (MGI:2140902)
chr4	83035182	83075817	4q21.22	4q21.22	616008	COPS4, CSN4	COP9 signalosome, subunit 4	COPS4	51138	ENSG00000138663			Cops4 (MGI:1349414)
